Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Date,Pages,Issue,Volume,Library Catalog,Main Auditory Cue Control Dimensions,Auditory Cue Controls,Haptics General,Haptics Details,Application ,Interaction ,Evaluation Method
journalArticle,2022,"Kaneko, Seitaro; Yokosaka, Takumi; Kajimoto, Hiroyuki; Kawabe, Takahiro","A Pseudo-Haptic Method Using Auditory Feedback: The Role of Delay, Frequency, and Loudness of Auditory Feedback in Response to a User’s Button Click in Causing a Sensation of Heaviness",IEEE Access,,2169-3536,10.1109/ACCESS.2022.3172324,https://ieeexplore.ieee.org/abstract/document/9766314,2022,50008-50022,,10,IEEE Xplore,Spectral; Amplitude; Temporal,Pitch: Frequency; Loudness: Volume; Synchrony: Delay,kinesthetic,object weight,virtual-feedback,click-button,subjective rating
journalArticle,2020,"Lu, Shihan; Chen, Yang; Culbertson, Heather",Towards Multisensory Perception: Modeling and Rendering Sounds of Tool-Surface Interactions,IEEE Transactions on Haptics,,2329-4051,10.1109/TOH.2020.2966192,https://ieeexplore.ieee.org/abstract/document/8960441,2020-01,94-101,1,13,IEEE Xplore,Spectral; All,Special Effect or Synthesis Method: Wavelet Tree; Audio Content: Different Audio Source; On-Off: Masking,Combined,"roughness, stiffness, slipperiness (no effect for slipperiness)",roughness-research,use-pen-stylus,"paired comparision (similarity), subjective rating"
conferencePaper,2017,"Murata, Haruto; Bouzarte, Youssef; Kanebako, Junichi; Minamizawa, Kouta",Walk-In Music: Walking Experience with Synchronized Music and Its Effect of Pseudo-gravity,Adjunct Proceedings of the 30th Annual ACM Symposium on User Interface Software and Technology,978-1-4503-5419-6,,10.1145/3131785.3131822,https://dl.acm.org/doi/10.1145/3131785.3131822,2017-10-20,177–179,,,ACM Digital Library,Temporal,Synchrony: Synchrony,kinesthetic,"body weight (pseudo-gravity), body movement awareness",pure-research,walk,"behaviour analysis, self-report description"
journalArticle,2022,"Zhexuan, Wu; Zhong, Wang",Research on a method of conveying material sensations through sound effects,Journal of New Music Research,,0929-8215,10.1080/09298215.2023.2187311,https://doi.org/10.1080/09298215.2023.2187311,2022-05-27,121-141,2-3,51,Taylor and Francis+NEJM,Spectral,Pitch: Pitch; Spectral Manipulation: Harmonics,Tactile,Material,pure-research,listen,identification task
conferencePaper,2023,"Desnoyers-Stewart, John; Stepanova, Ekaterina R.; Liu, Pinyao; Kitson, Alexandra; Pennefather, Patrick Parra; Ryzhov, Vladislav; Riecke, Bernhard E.",Embodied Telepresent Connection (ETC): Exploring Virtual Social Touch Through Pseudohaptics,Extended Abstracts of the 2023 CHI Conference on Human Factors in Computing Systems,978-1-4503-9422-2,,10.1145/3544549.3585843,https://dl.acm.org/doi/10.1145/3544549.3585843,2023-04-19,1–7,,,ACM Digital Library,Spectral; Amplitude; Temporal,Pitch: Pitch; Loudness: Volume; Synchrony: Synchrony,combined,touch (social touch),virtual-touch,remote-collab,self-report description
conferencePaper,2023,"Kurzweg, Marco; Letter, Maximilian; Wolf, Katrin",Vibrollusion: Creating a Vibrotactile Illusion Induced by Audiovisual Touch Feedback,Proceedings of the 22nd International Conference on Mobile and Ubiquitous Multimedia,9798400709210,,10.1145/3626705.3627790,https://dl.acm.org/doi/10.1145/3626705.3627790,2023-12-03,185–197,,,ACM Digital Library,Spectral,Spectral Manipulation: Filter,tactile,vibration,virtual-feedback,touch,subjective rating
conferencePaper,2018,"Yamada, Taiki; Shibata, Fumihisa; Kimura, Asako",Analysis of the R-V dynamics illusion behavior in terms of auditory stimulation,Proceedings of the 24th ACM Symposium on Virtual Reality Software and Technology,978-1-4503-6086-9,,10.1145/3281505.3281595,https://dl.acm.org/doi/10.1145/3281505.3281595,2018-11-28,1–2,,,ACM Digital Library,Spectral; Amplitude,Pitch: Size/weight of the object; Timbre/Texture: Size/weight of sound source; Loudness: Loudness,kinesthetic,object weight,weight-research,listen,paired comparision
journalArticle,2016,"Rocchesso, D.; Delle Monache, S.; Papetti, S.",Multisensory texture exploration at the tip of the pen,International Journal of Human-Computer Studies,,1071-5819,10.1016/j.ijhcs.2015.07.005,https://www.sciencedirect.com/science/article/pii/S1071581915001238,2016-01-01,47-56,,85,ScienceDirect,All,On-Off: Auditory cues provided (vs. not provided),tactile,"roughness (writing texture), friction",multisensory-stylus-interaction,use-pen-stylus,behaviour analysis
researchArticle,2019,"Nakajima, Musashi",Pseudo-haptic feedback by cross-modal perception of auditory stim...: Ingenta Connect,Science Impact Ltd,,,10.21820/23987073.2019.10.36,https://www.ingentaconnect.com/content/sil/impact/2019/00002019/00000010/art00013#,2019-10,pp. 36-38(3),,,Impact,All,On-Off: Auditory cues provided (vs. not provided),kinesthetic,touch,pure-research,unknown,unknown
journalArticle,2008,"Magnusson, Charlotte; Rassmus-Gröhn, Kirsten",A Pilot study on audio induced pseudo-haptics: Haid´08,Proceedings of the 3rd International Haptic and Auditory Interaction Design Workshop,,,,,2008,6-7,,,Lund University,Spectral; All; Spatial,Pitch: Frequency; On-Off: Auditory cues provided (vs. not provided); Location: Location/Position; Location: Panning,kinesthetic,friction,pure-research,slide,pilot
